"Review_ID,Product_Name,Rating,Review_Text,Age,Gender,Purchase_Date"
"1,Product A,5,""This product is amazing! I love it!"",25-34,Female,2023-07-15"
"2,Product B,4,""Good product, but could be better."",18-24,Male,2023-07-12"
"3,Product C,3,""Average product. Not bad, not great."",35-44,Female,2023-07-10"
"4,Product A,5,""I would highly recommend this product."",45-54,Male,2023-07-09"
"5,Product D,2,""Not satisfied with the product quality."",25-34,Female,2023-07-08"
"6,Product B,4,""Nice product for the price."",18-24,Male,2023-07-05"
"7,Product A,5,""Great purchase! Exactly what I needed."",55-64,Male,2023-07-03"
"8,Product C,1,""Terrible product. Waste of money."",25-34,Female,2023-07-01"
"9,Product D,3,""It's okay. Nothing special."",35-44,Male,2023-06-28"
"10,Product B,5,""Best product ever! Will buy again."",18-24,Female,2023-06-25"
